symbol,lonaName,shortName,Acronym,Sector,Announced Date,Due Date,Distribution Date,Amount,Distribution Way
1180,The Saudi National Bank,SNB,SNB,Banks,2021-08-09,2021-08-12,2021-08-23,0.65,Account Transfer
4190,Jarir Marketing Co.,JARIR,JARIR,Retailing,2021-08-11,2021-08-16,2021-08-25,1.4,Account Transfer
3003,City Cement Co.,CITY CEMENT,CITY CEMENT,Materials,2021-08-12,2021-08-19,2021-09-02,0.75,Account Transfer
2190,Saudi Industrial Services Co.,SISCO,SISCO,Transportation,2021-08-12,2021-11-03,2021-11-23,0.4,Account Transfer
4330,Riyad REIT Fund,RIYAD REIT,RIYAD REIT,REITs,2021-08-15,2021-08-22,2021-09-12,0.27,Account Transfer
4161,BinDawood Holding Co.,BINDAWOOD,BINDAWOOD,Food & Staples Retailing,2021-08-15,2021-08-26,2021-09-05,1.25,Account Transfer
3010,Arabian Cement Co.,ACC,ACC,Materials,2021-08-16,2021-08-18,2021-09-06,1.25,Account Transfer
1831,Maharah Human Resources Co.,MAHARAH,MAHARAH,Commercial & Professional Svc,2021-08-17,2021-08-22,2021-09-02,1.75,Account Transfer
3040,Qassim Cement Co.,QACCO,QACCO,Materials,2021-08-18,2021-08-22,2021-09-07,1,Account Transfer
4342,Jadwa REIT Saudi Fund,JADWA REIT SAUDI,JADWA REIT SAUDI,REITs,2021-08-22,2021-08-26,2021-09-21,0.2,Account Transfer
4260,United International Transportation Co.,BUDGET SAUDI,BUDGET SAUDI,Transportation,2021-08-22,2021-09-01,2021-09-20,0.6,Account Transfer
4001,Abdullah Al Othaim Markets Co.,A.OTHAIM MARKET,A.OTHAIM MARKET,Food & Staples Retailing,2021-08-29,2021-09-09,2021-09-22,2,Account Transfer
2080,National Gas and Industrialization Co.,GASCO,GASCO,Utilities,2021-09-08,2021-09-13,2021-09-27,0.75,Account Transfer
4050,Saudi Automotive Services Co.,SASCO,SASCO,Retailing,2021-09-09,2021-09-19,2021-10-04,0.3,Account Transfer
4261,Theeb Rent a Car Co.,THEEB,THEEB,Transportation,2021-09-16,2021-09-20,2021-10-06,0.51,Account Transfer
4030,National Shipping Company of Saudi Arabia,BAHRI,BAHRI,Energy,2021-09-21,2021-10-05,2021-10-24,1,Account Transfer
3002,Najran Cement Co.,NAJRAN CEMENT,NAJRAN CEMENT,Materials,2021-09-22,2021-10-03,2021-10-17,0.75,Account Transfer
4004,Dallah Healthcare Co.,DALLAH HEALTH,DALLAH HEALTH,Health Care Equipment & Svc,2021-09-22,2021-09-30,2021-10-14,0.5,Account Transfer
4344,SEDCO Capital REIT Fund,SEDCO CAPITAL REIT,SEDCO CAPITAL REIT,REITs,2021-09-27,2021-09-30,2021-10-21,0.1625,Account Transfer
4292,Ataa Educational Co.,ATAA,ATAA,Consumer Services,2021-09-29,2021-11-07,2021-11-21,1,Account Transfer
4339,Derayah REIT Fund,DERAYAH REIT,DERAYAH REIT,REITs,2021-10-03,2021-10-17,2021-11-14,0.18,Account Transfer
4342,Jadwa REIT Saudi Fund,JADWA REIT SAUDI,JADWA REIT SAUDI,REITs,2021-10-05,2021-10-11,2021-11-10,0.2,Account Transfer
4336,Mulkia Gulf Real Estate REIT,MULKIA REIT,MULKIA REIT,REITs,2021-10-10,2021-10-12,2021-10-24,0.13,Account Transfer
4320,Alandalus Property Co.,ALANDALUS,ALANDALUS,"Real Estate Mgmt & Dev't",2021-10-10,2021-10-12,2021-10-24,0.25,Account Transfer
2330,Advanced Petrochemical Co.,ADVANCED,ADVANCED,Materials,2021-10-20,2021-11-11,2021-11-21,0.65,Account Transfer
7010,Saudi Telecom Co.,STC,STC,Telecommunication Services,2021-10-21,2021-10-28,2021-11-18,1,Account Transfer
4013,Dr. Sulaiman Al Habib Medical Services Group,SULAIMAN ALHABIB,SULAIMAN ALHABIB,Health Care Equipment & Svc,2021-10-24,2021-10-28,2021-11-15,0.7,Account Transfer
4333,Taleem REIT Fund,TALEEM REIT,TALEEM REIT,REITs,2021-10-25,2021-10-26,2021-11-09,0.12,Account Transfer
4348,Alkhabeer REIT Fund,ALKHABEER REIT,ALKHABEER REIT,REITs,2021-10-31,2021-11-14,2021-12-26,0.125,Account Transfer
2222,Saudi Arabian Oil Co.,SAUDI ARAMCO,SAUDI ARAMCO,Energy,2021-10-31,2021-11-04,2021-11-22,0.3518,Account Transfer
2170,Alujain Corp.,ALUJAIN,ALUJAIN,Materials,2021-10-31,2021-11-04,2021-11-18,1,Account Transfer
4190,Jarir Marketing Co.,JARIR,JARIR,Retailing,2021-11-04,2021-11-08,2021-11-17,2.05,Account Transfer
4180,Fitaihi Holding Group,FITAIHI GROUP,FITAIHI GROUP,Consumer Durables & Apparel,2021-11-07,2021-11-14,2021-11-30,0.5,Account Transfer
1830,Leejam Sports Co.,FITNESS TIME,FITNESS TIME,Consumer Services,2021-11-07,2021-11-14,2021-11-25,0.78,Account Transfer
4007,Al Hammadi Holding,ALHAMMADI,ALHAMMADI,Health Care Equipment & Svc,2021-11-11,2021-12-09,2021-12-26,0.6,Account Transfer
3007,Zahrat Al Waha for Trading Co.,OASIS,OASIS,Materials,2021-11-15,2022-05-09,2022-05-26,1.5,Account Transfer
4090,Taiba Investments Co.,TAIBA,TAIBA,"Real Estate Mgmt & Dev't",2021-11-15,2021-11-21,2021-12-05,4,Account Transfer
4261,Theeb Rent a Car Co.,THEEB,THEEB,Transportation,2021-11-16,2021-11-22,2021-12-05,0.4,Account Transfer
4291,National Company for Learning and Education,NCLE,NCLE,Consumer Services,2021-11-18,2022-01-09,2022-01-20,0.8,Account Transfer
3040,Qassim Cement Co.,QACCO,QACCO,Materials,2021-11-23,2021-11-28,2021-12-15,0.8,Account Transfer
7020,Etihad Etisalat Co.,ETIHAD ETISALAT,ETIHAD ETISALAT,Telecommunication Services,2021-11-25,2022-05-23,2022-06-09,0.85,Account Transfer
4331,AlJazira REIT,ALJAZIRA REIT,ALJAZIRA REIT,REITs,2021-12-05,2021-12-05,2021-12-16,0.338,Account Transfer
3001,Hail Cement Co.,HCC,HCC,Materials,2021-12-05,2021-12-09,2021-12-23,0.5,Account Transfer
4081,Nayifat Finance Co.,NAYIFAT,NAYIFAT,Diversified Financials,2021-12-06,2021-12-09,2021-12-16,0.75,Account Transfer
3060,Yanbu Cement Co.,YCC,YCC,Materials,2021-12-12,2021-12-13,2021-12-30,1,Account Transfer
4347,Bonyan REIT Fund,BONYAN REIT,BONYAN REIT,REITs,2021-12-13,2021-12-13,2021-12-29,0.32,Account Transfer
1304,Al Yamamah Steel Industries Co.,ALYAMAMAH STEEL,ALYAMAMAH STEEL,Materials,2021-12-13,2021-12-30,2022-01-12,1,Account Transfer
2010,Saudi Basic Industries Corp.,SABIC,SABIC,Materials,2021-12-15,2022-04-10,2022-04-25,2.25,Account Transfer
2310,Sahara International Petrochemical Co.,SIPCHEM,SIPCHEM,Materials,2021-12-15,2021-12-20,2021-12-30,1.5,Account Transfer
2280,Almarai Co.,ALMARAI,ALMARAI,Food & Beverages,2021-12-15,2022-04-12,2022-04-20,1,Account Transfer
4004,Dallah Healthcare Co.,DALLAH HEALTH,DALLAH HEALTH,Health Care Equipment & Svc,2021-12-15,2021-12-16,2021-12-30,1,Account Transfer
1010,Riyad Bank,RIBL,RIBL,Banks,2021-12-16,2022-04-12,2022-04-25,0.54,Account Transfer
2020,SABIC Agri-Nutrients Co.,SABIC AGRI-NUTRIENTS,SABIC AGRI-NUTRIENTS,Materials,2021-12-20,2022-04-13,2022-04-27,3,Account Transfer
2330,Advanced Petrochemical Co.,ADVANCED,ADVANCED,Materials,2021-12-22,2022-02-10,2022-02-20,0.65,Account Transfer
