symbol,lonaName,shortName,Acronym,Sector,Announced Date,Due Date,Distribution Date,Amount,Distribution Way
4061,Anaam International Holding Group,ANAAM HOLDING,ANAAM HOLDING,Food & Staples Retailing,1987-05-12,1987-06-24,1987-07-25,2.5,Account Transfer
4061,Anaam International Holding Group,ANAAM HOLDING,ANAAM HOLDING,Food & Staples Retailing,1988-03-20,1988-06-25,1988-07-25,2.5,Account Transfer
4100,Makkah Construction and Development Co.,MCDC,MCDC,"Real Estate Mgmt & Dev't",1995-02-28,1995-03-29,1995-04-29,5,By Mail
3020,Yamama Cement Co.,YSCC,YSCC,Materials,1996-02-07,1996-03-09,1996-03-11,37,By Mail
6010,National Agricultural Development Co.,NADEC,NADEC,Food & Beverages,1996-02-27,1996-02-26,1996-03-18,7,By Mail
3050,Southern Province Cement Co.,SPCC,SPCC,Materials,1996-03-05,1996-03-21,1996-04-13,30,By Mail
2020,SABIC Agri-Nutrients Co.,SABIC AGRI-NUTRIENTS,SABIC AGRI-NUTRIENTS,Materials,1996-03-06,1996-03-21,1996-04-04,50,By Mail
3080,Eastern Province Cement Co.,EPCCO,EPCCO,Materials,1996-03-06,1996-04-02,1996-04-08,35,By Mail
4100,Makkah Construction and Development Co.,MCDC,MCDC,"Real Estate Mgmt & Dev't",1996-03-06,1996-03-13,1996-04-15,7,By Mail
3040,Qassim Cement Co.,QACCO,QACCO,Materials,1996-03-09,1996-04-04,1996-04-13,30,By Mail
2090,National Gypsum Co.,NGC,NGC,Materials,1996-03-13,1996-03-13,1996-05-11,20,By Mail
2010,Saudi Basic Industries Corp.,SABIC,SABIC,Materials,1996-03-18,1996-03-28,1996-04-15,30,By Mail
3030,Saudi Cement Co.,SAUDI CEMENT,SAUDI CEMENT,Materials,1996-03-19,1996-04-14,1996-05-04,15,By Mail
4140,Saudi Industrial Export Co.,SIECO,SIECO,Capital Goods,1996-03-19,1996-03-31,1996-04-17,10,By Mail
2080,National Gas and Industrialization Co.,GASCO,GASCO,Utilities,1996-03-19,1996-05-12,1996-05-25,7,By Mail
2040,Saudi Ceramic Co.,SAUDI CERAMICS,SAUDI CERAMICS,Capital Goods,1996-04-01,1996-04-18,1996-05-07,20,By Mail
2050,Savola Group,SAVOLA GROUP,SAVOLA GROUP,Food & Beverages,1996-04-02,1996-04-09,1996-04-22,15,By Mail
4010,Dur Hospitality Co.,DUR,DUR,Consumer Services,1996-04-06,1996-05-09,1996-05-20,7,By Mail
3060,Yanbu Cement Co.,YCC,YCC,Materials,1996-04-14,1996-03-31,1996-04-16,12,By Mail
4090,Taiba Investments Co.,TAIBA,TAIBA,"Real Estate Mgmt & Dev't",1996-04-14,1996-05-20,1996-07-20,1.88,By Mail
4040,Saudi Public Transport Co.,SAPTCO,SAPTCO,Transportation,1996-04-15,1996-05-11,1996-06-17,7,By Mail
3010,Arabian Cement Co.,ACC,ACC,Materials,1996-04-16,1996-03-20,1996-04-16,7.5,By Mail
6040,Tabuk Agricultural Development Co.,TADCO,TADCO,Food & Beverages,1996-05-18,1996-12-24,1996-12-28,5,By Mail
4020,Saudi Real Estate Co.,ALAKARIA,ALAKARIA,"Real Estate Mgmt & Dev't",1996-05-18,1996-06-19,1996-07-07,6,By Mail
6050,Saudi Fisheries Co.,SFICO,SFICO,Food & Beverages,1996-06-25,1996-06-19,1996-07-30,5,By Mail
6010,National Agricultural Development Co.,NADEC,NADEC,Food & Beverages,1996-07-30,1996-07-18,1996-08-19,10,By Mail
2030,Saudi Arabia Refineries Co.,SARCO,SARCO,Energy,1996-09-19,1996-09-26,1996-10-12,16,By Mail
4100,Makkah Construction and Development Co.,MCDC,MCDC,"Real Estate Mgmt & Dev't",1996-12-10,1997-02-27,1997-04-07,10,By Mail
3020,Yamama Cement Co.,YSCC,YSCC,Materials,1997-02-04,1997-02-27,1997-03-10,37,By Mail
3040,Qassim Cement Co.,QACCO,QACCO,Materials,1997-02-19,1997-03-13,1997-03-26,27,By Mail
3050,Southern Province Cement Co.,SPCC,SPCC,Materials,1997-02-19,1997-03-10,1997-04-05,30,By Mail
3060,Yanbu Cement Co.,YCC,YCC,Materials,1997-02-22,1997-03-20,1997-04-05,12,By Mail
2050,Savola Group,SAVOLA GROUP,SAVOLA GROUP,Food & Beverages,1997-02-26,1997-03-18,1997-04-02,25,By Mail
2020,SABIC Agri-Nutrients Co.,SABIC AGRI-NUTRIENTS,SABIC AGRI-NUTRIENTS,Materials,1997-03-04,1997-03-16,1997-03-30,40,By Mail
2090,National Gypsum Co.,NGC,NGC,Materials,1997-03-05,1997-03-04,1997-05-01,20,By Mail
4140,Saudi Industrial Export Co.,SIECO,SIECO,Capital Goods,1997-03-09,1997-03-31,1997-04-08,10,By Mail
4010,Dur Hospitality Co.,DUR,DUR,Consumer Services,1997-03-09,1997-03-27,1997-04-06,7.5,By Mail
2010,Saudi Basic Industries Corp.,SABIC,SABIC,Materials,1997-03-10,1997-03-20,1997-04-01,25,By Mail
3080,Eastern Province Cement Co.,EPCCO,EPCCO,Materials,1997-03-10,1997-04-03,1997-04-07,35,By Mail
3010,Arabian Cement Co.,ACC,ACC,Materials,1997-03-12,1997-03-13,1997-04-09,10,By Mail
2080,National Gas and Industrialization Co.,GASCO,GASCO,Utilities,1997-03-18,1997-04-24,1997-05-14,14,By Mail
6070,Al-Jouf Agricultural Development Co.,ALJOUF,ALJOUF,Food & Beverages,1997-03-23,1997-05-01,1997-05-10,5,By Mail
4150,Arriyadh Development Co.,ARDCO,ARDCO,"Real Estate Mgmt & Dev't",1997-03-23,,,5,By Mail
4040,Saudi Public Transport Co.,SAPTCO,SAPTCO,Transportation,1997-03-31,1997-05-11,1997-06-25,7,By Mail
2140,AYYAN Investment Co.,AYYAN,AYYAN,Health Care Equipment & Svc,1997-03-31,1997-04-28,1997-06-10,2.5,By Mail
3030,Saudi Cement Co.,SAUDI CEMENT,SAUDI CEMENT,Materials,1997-04-06,1997-04-07,1997-04-29,18,By Mail
2070,Saudi Pharmaceutical Industries and Medical Appliances Corp.,SPIMACO,SPIMACO,"Pharma, Biotech & Life Science",1997-04-13,1997-04-14,1997-04-15,10,By Mail
4020,Saudi Real Estate Co.,ALAKARIA,ALAKARIA,"Real Estate Mgmt & Dev't",1997-04-13,1997-05-07,,7,By Mail
6040,Tabuk Agricultural Development Co.,TADCO,TADCO,Food & Beverages,1997-05-07,1997-08-14,1997-08-17,5,By Mail
2170,Alujain Corp.,ALUJAIN,ALUJAIN,Materials,1997-05-23,1997-06-15,1997-06-30,5,By Mail
6090,Jazan Energy and Development Co.,JAZADCO,JAZADCO,Food & Beverages,1997-06-02,1997-05-19,1997-07-09,5,By Mail
4080,Sinad Holding Co.,SINAD HOLDING,SINAD HOLDING,Diversified Financials,1997-07-15,,,5.4,By Mail
6010,National Agricultural Development Co.,NADEC,NADEC,Food & Beverages,1997-11-03,1997-12-27,1998-02-21,7,By Mail
4100,Makkah Construction and Development Co.,MCDC,MCDC,"Real Estate Mgmt & Dev't",1997-12-20,1998-02-25,1998-03-04,12,By Mail
4020,Saudi Real Estate Co.,ALAKARIA,ALAKARIA,"Real Estate Mgmt & Dev't",1998-01-25,1998-02-15,,7.5,By Mail
4020,Saudi Real Estate Co.,ALAKARIA,ALAKARIA,"Real Estate Mgmt & Dev't",1998-02-14,1998-02-15,1998-03-15,7.5,By Mail
3030,Saudi Cement Co.,SAUDI CEMENT,SAUDI CEMENT,Materials,1998-02-17,1998-03-11,1998-03-23,15,By Mail
2090,National Gypsum Co.,NGC,NGC,Materials,1998-02-18,1998-03-26,1998-04-25,20,By Mail
3040,Qassim Cement Co.,QACCO,QACCO,Materials,1998-02-26,1998-04-16,1998-04-22,32,By Mail
2020,SABIC Agri-Nutrients Co.,SABIC AGRI-NUTRIENTS,SABIC AGRI-NUTRIENTS,Materials,1998-03-01,1998-03-15,1998-04-24,20,By Mail
3080,Eastern Province Cement Co.,EPCCO,EPCCO,Materials,1998-03-03,1998-03-24,1998-03-30,30,By Mail
6040,Tabuk Agricultural Development Co.,TADCO,TADCO,Food & Beverages,1998-03-03,1998-04-23,1998-04-25,5,By Mail
2010,Saudi Basic Industries Corp.,SABIC,SABIC,Materials,1998-03-04,1998-03-12,1998-03-29,25,By Mail
3020,Yamama Cement Co.,YSCC,YSCC,Materials,1998-03-04,1998-05-09,1998-05-16,33,By Mail
2050,Savola Group,SAVOLA GROUP,SAVOLA GROUP,Food & Beverages,1998-03-07,1998-03-16,1998-04-01,20,By Mail
4010,Dur Hospitality Co.,DUR,DUR,Consumer Services,1998-03-10,1998-03-22,1998-03-31,8,By Mail
3050,Southern Province Cement Co.,SPCC,SPCC,Materials,1998-03-11,1998-04-11,1998-04-21,25,By Mail
2070,Saudi Pharmaceutical Industries and Medical Appliances Corp.,SPIMACO,SPIMACO,"Pharma, Biotech & Life Science",1998-03-18,1998-04-20,1988-05-02,8,By Mail
3010,Arabian Cement Co.,ACC,ACC,Materials,1998-03-19,1998-04-04,1998-04-25,7.5,By Mail
4140,Saudi Industrial Export Co.,SIECO,SIECO,Capital Goods,1998-03-19,1998-04-18,1998-04-19,10,By Mail
3060,Yanbu Cement Co.,YCC,YCC,Materials,1998-03-30,1998-05-16,1998-06-13,10,By Mail
6070,Al-Jouf Agricultural Development Co.,ALJOUF,ALJOUF,Food & Beverages,1998-03-31,1998-05-18,1998-05-25,5,By Mail
4090,Taiba Investments Co.,TAIBA,TAIBA,"Real Estate Mgmt & Dev't",1998-03-31,1998-05-13,1998-06-01,1.88,By Mail
2160,Saudi Arabian Amiantit Co.,AMIANTIT,AMIANTIT,Capital Goods,1998-04-18,1998-05-13,1998-06-08,5,By Mail
2080,National Gas and Industrialization Co.,GASCO,GASCO,Utilities,1998-04-20,1998-04-30,1998-05-28,14,By Mail
4040,Saudi Public Transport Co.,SAPTCO,SAPTCO,Transportation,1998-04-29,1998-05-28,1998-08-26,7,By Mail
2170,Alujain Corp.,ALUJAIN,ALUJAIN,Materials,1998-06-14,1998-06-18,1999-07-13,5,By Mail
2030,Saudi Arabia Refineries Co.,SARCO,SARCO,Energy,1998-09-05,1998-09-30,1998-10-17,15,By Mail
4100,Makkah Construction and Development Co.,MCDC,MCDC,"Real Estate Mgmt & Dev't",1999-01-10,1999-02-14,1999-02-27,12,By Mail
3040,Qassim Cement Co.,QACCO,QACCO,Materials,1999-02-17,1999-03-22,1999-04-14,17,By Mail
4010,Dur Hospitality Co.,DUR,DUR,Consumer Services,1999-02-17,1999-03-07,1999-03-15,3.5,By Mail
2070,Saudi Pharmaceutical Industries and Medical Appliances Corp.,SPIMACO,SPIMACO,"Pharma, Biotech & Life Science",1999-03-06,1999-04-11,1999-04-24,5,By Mail
3030,Saudi Cement Co.,SAUDI CEMENT,SAUDI CEMENT,Materials,1999-03-08,1999-03-22,1999-04-07,12,By Mail
3080,Eastern Province Cement Co.,EPCCO,EPCCO,Materials,1999-03-08,1999-04-03,1999-04-12,28,By Mail
2020,SABIC Agri-Nutrients Co.,SABIC AGRI-NUTRIENTS,SABIC AGRI-NUTRIENTS,Materials,1999-03-09,1999-03-15,1999-04-12,5.5,By Mail
2090,National Gypsum Co.,NGC,NGC,Materials,1999-03-09,1999-04-10,1999-05-01,10,By Mail
3050,Southern Province Cement Co.,SPCC,SPCC,Materials,1999-03-09,1999-04-08,1999-04-24,10,By Mail
2050,Savola Group,SAVOLA GROUP,SAVOLA GROUP,Food & Beverages,1999-03-15,1999-03-23,1999-04-14,12,By Mail
2010,Saudi Basic Industries Corp.,SABIC,SABIC,Materials,1999-03-16,1999-03-21,1999-04-18,5,By Mail
4140,Saudi Industrial Export Co.,SIECO,SIECO,Capital Goods,1999-03-16,1999-04-17,1999-04-18,2.5,By Mail
2080,National Gas and Industrialization Co.,GASCO,GASCO,Utilities,1999-03-16,1999-04-15,1999-05-01,3.5,By Mail
6070,Al-Jouf Agricultural Development Co.,ALJOUF,ALJOUF,Food & Beverages,1999-03-17,1999-05-12,1999-05-12,2.5,By Mail
4020,Saudi Real Estate Co.,ALAKARIA,ALAKARIA,"Real Estate Mgmt & Dev't",1999-03-18,1999-04-12,1999-05-15,6.5,By Mail
3020,Yamama Cement Co.,YSCC,YSCC,Materials,1999-03-20,1999-04-17,1999-04-28,30,By Mail
4090,Taiba Investments Co.,TAIBA,TAIBA,"Real Estate Mgmt & Dev't",1999-03-20,1999-04-28,1999-05-15,1.88,By Mail
6040,Tabuk Agricultural Development Co.,TADCO,TADCO,Food & Beverages,1999-04-03,1999-04-29,1999-05-01,2.5,By Mail
3010,Arabian Cement Co.,ACC,ACC,Materials,1999-04-04,1999-04-15,1999-04-26,5,By Mail
2160,Saudi Arabian Amiantit Co.,AMIANTIT,AMIANTIT,Capital Goods,1999-04-05,1999-05-02,1999-06-01,6.5,By Mail
3060,Yanbu Cement Co.,YCC,YCC,Materials,1999-04-18,1999-05-15,1999-06-09,5,By Mail
2140,AYYAN Investment Co.,AYYAN,AYYAN,Health Care Equipment & Svc,1999-04-19,1999-05-11,1999-05-12,2.5,By Mail
2210,Nama Chemicals Co.,NAMA CHEMICALS,NAMA CHEMICALS,Materials,1999-05-23,1999-05-29,,2.5,By Mail
4040,Saudi Public Transport Co.,SAPTCO,SAPTCO,Transportation,1999-06-01,1999-06-15,1999-09-05,3.25,By Mail
6010,National Agricultural Development Co.,NADEC,NADEC,Food & Beverages,1999-06-15,1999-06-19,1999-08-28,5,Personal Pickup
2030,Saudi Arabia Refineries Co.,SARCO,SARCO,Energy,1999-10-14,1999-10-14,1999-10-16,5,By Mail
4100,Makkah Construction and Development Co.,MCDC,MCDC,"Real Estate Mgmt & Dev't",1999-12-08,2000-02-01,2000-02-16,12,By Mail
2180,Filing and Packing Materials Manufacturing Co.,FIPCO,FIPCO,Materials,2000-01-26,2000-01-20,2000-04-29,2.5,By Mail
2020,SABIC Agri-Nutrients Co.,SABIC AGRI-NUTRIENTS,SABIC AGRI-NUTRIENTS,Materials,2000-02-26,2000-03-12,2000-04-10,2.5,Personal Pickup
3020,Yamama Cement Co.,YSCC,YSCC,Materials,2000-02-26,2000-03-25,2000-04-08,25,By Mail
3030,Saudi Cement Co.,SAUDI CEMENT,SAUDI CEMENT,Materials,2000-02-26,2000-03-23,2000-04-09,11,By Mail
3050,Southern Province Cement Co.,SPCC,SPCC,Materials,2000-02-28,2000-04-01,2000-04-15,12.5,By Mail
3080,Eastern Province Cement Co.,EPCCO,EPCCO,Materials,2000-02-28,2000-03-09,2000-03-27,12,By Mail
2090,National Gypsum Co.,NGC,NGC,Materials,2000-02-29,2000-04-03,2000-05-01,11,By Mail
3040,Qassim Cement Co.,QACCO,QACCO,Materials,2000-03-01,2000-04-13,2000-05-02,18.5,By Mail
2070,Saudi Pharmaceutical Industries and Medical Appliances Corp.,SPIMACO,SPIMACO,"Pharma, Biotech & Life Science",2000-03-01,2000-04-27,2000-05-06,5,By Mail
4140,Saudi Industrial Export Co.,SIECO,SIECO,Capital Goods,2000-03-08,2000-04-17,2000-05-20,4,By Mail
4010,Dur Hospitality Co.,DUR,DUR,Consumer Services,2000-03-08,2000-04-08,2000-04-18,3.75,By Mail
2140,AYYAN Investment Co.,AYYAN,AYYAN,Health Care Equipment & Svc,2000-03-08,2000-04-05,2000-04-25,2.5,By Mail
2080,National Gas and Industrialization Co.,GASCO,GASCO,Utilities,2000-03-12,2000-04-03,2000-04-26,3.5,By Mail
2050,Savola Group,SAVOLA GROUP,SAVOLA GROUP,Food & Beverages,2000-03-27,2000-04-19,,11,By Mail
4090,Taiba Investments Co.,TAIBA,TAIBA,"Real Estate Mgmt & Dev't",2000-04-01,2000-07-05,2000-07-22,1.88,By Mail
2010,Saudi Basic Industries Corp.,SABIC,SABIC,Materials,2000-04-04,2000-04-13,2000-05-06,2.5,By Mail
3060,Yanbu Cement Co.,YCC,YCC,Materials,2000-04-04,2000-05-11,2000-06-03,5,By Mail
4020,Saudi Real Estate Co.,ALAKARIA,ALAKARIA,"Real Estate Mgmt & Dev't",2000-04-08,2000-04-30,2000-06-03,4,By Mail
2160,Saudi Arabian Amiantit Co.,AMIANTIT,AMIANTIT,Capital Goods,2000-04-12,2000-04-30,2000-05-14,8.5,By Mail
4040,Saudi Public Transport Co.,SAPTCO,SAPTCO,Transportation,2000-04-22,2000-05-11,2000-08-12,2.5,By Mail
3010,Arabian Cement Co.,ACC,ACC,Materials,2000-04-24,2000-04-20,2000-05-06,6,By Mail
6040,Tabuk Agricultural Development Co.,TADCO,TADCO,Food & Beverages,2000-04-26,2000-10-19,2000-10-21,2.5,By Mail
2210,Nama Chemicals Co.,NAMA CHEMICALS,NAMA CHEMICALS,Materials,2000-05-01,2000-05-25,,2.5,By Mail
4170,Tourism Enterprise Co.,TECO,TECO,Consumer Services,2000-07-24,2000-08-02,2000-09-01,2.5,Account Transfer
2030,Saudi Arabia Refineries Co.,SARCO,SARCO,Energy,2000-09-09,2000-09-12,2000-10-01,5,By Mail
4100,Makkah Construction and Development Co.,MCDC,MCDC,"Real Estate Mgmt & Dev't",2000-10-28,2001-01-23,2001-02-06,12,By Mail
1080,Arab National Bank,ANB,ANB,Banks,2001-01-19,2001-03-01,2001-03-20,10.1,Account Transfer
1010,Riyad Bank,RIBL,RIBL,Banks,2001-01-25,2001-01-25,2001-02-20,10,Personal Pickup
1030,Saudi Investment Bank,SAIB,SAIB,Banks,2001-01-29,2001-01-24,2001-01-27,5,By Mail
1060,Saudi British Bank,SABB,SABB,Banks,2001-01-30,2001-02-07,2001-03-13,13,By Mail
1050,Banque Saudi Fransi,BSFR,BSFR,Banks,2001-02-01,2001-02-25,2001-02-25,11.25,By Mail
2090,National Gypsum Co.,NGC,NGC,Materials,2001-02-12,2001-03-18,2001-04-01,12,By Mail
1120,Al Rajhi Bank,ALRAJHI,ALRAJHI,Banks,2001-02-12,2001-02-22,2001-03-25,28,Personal Pickup
2070,Saudi Pharmaceutical Industries and Medical Appliances Corp.,SPIMACO,SPIMACO,"Pharma, Biotech & Life Science",2001-02-20,2001-04-05,2001-05-28,5,By Mail
3020,Yamama Cement Co.,YSCC,YSCC,Materials,2001-02-21,2001-03-22,2001-03-31,27,By Mail
3050,Southern Province Cement Co.,SPCC,SPCC,Materials,2001-02-26,2001-04-01,2001-04-21,11,By Mail
3030,Saudi Cement Co.,SAUDI CEMENT,SAUDI CEMENT,Materials,2001-02-27,2001-03-22,2001-04-09,8,By Mail
3040,Qassim Cement Co.,QACCO,QACCO,Materials,2001-02-27,2001-03-29,2001-04-21,18,By Mail
4010,Dur Hospitality Co.,DUR,DUR,Consumer Services,2001-02-27,2001-03-17,2001-03-26,3,By Mail
2020,SABIC Agri-Nutrients Co.,SABIC AGRI-NUTRIENTS,SABIC AGRI-NUTRIENTS,Materials,2001-03-11,2001-03-15,2001-04-03,6,By Mail
2010,Saudi Basic Industries Corp.,SABIC,SABIC,Materials,2001-03-18,2001-04-14,2001-04-24,5,By Mail
4140,Saudi Industrial Export Co.,SIECO,SIECO,Capital Goods,2001-03-18,2001-04-16,2001-05-17,2,By Mail
2080,National Gas and Industrialization Co.,GASCO,GASCO,Utilities,2001-03-18,2001-04-12,2001-05-06,3.5,By Mail
3080,Eastern Province Cement Co.,EPCCO,EPCCO,Materials,2001-03-19,2001-03-29,2001-04-16,14,By Mail
2180,Filing and Packing Materials Manufacturing Co.,FIPCO,FIPCO,Materials,2001-03-20,2001-03-31,2001-04-18,4,By Mail
2050,Savola Group,SAVOLA GROUP,SAVOLA GROUP,Food & Beverages,2001-03-21,2001-04-12,,11,By Mail
4020,Saudi Real Estate Co.,ALAKARIA,ALAKARIA,"Real Estate Mgmt & Dev't",2001-03-26,2001-04-09,,4.5,By Mail
4150,Arriyadh Development Co.,ARDCO,ARDCO,"Real Estate Mgmt & Dev't",2001-03-28,2002-01-01,,2.5,By Mail
3010,Arabian Cement Co.,ACC,ACC,Materials,2001-04-01,2001-04-19,2001-05-01,6,By Mail
3090,Tabuk Cement Co.,TCC,TCC,Materials,2001-04-01,2001-04-24,,3,By Mail
6070,Al-Jouf Agricultural Development Co.,ALJOUF,ALJOUF,Food & Beverages,2001-04-01,2001-05-23,2001-05-23,2.5,By Mail
4040,Saudi Public Transport Co.,SAPTCO,SAPTCO,Transportation,2001-04-02,2001-05-03,2001-06-26,2.5,By Mail
3060,Yanbu Cement Co.,YCC,YCC,Materials,2001-04-28,2001-05-07,2001-06-02,5,By Mail
2240,Zamil Industrial Investment Co.,ZAMIL INDUST,ZAMIL INDUST,Materials,2001-05-05,2001-05-05,2001-05-05,4,Personal Pickup
2230,Saudi Chemical Co.,CHEMICAL,CHEMICAL,Health Care Equipment & Svc,2001-07-07,2001-07-21,2001-07-22,22.5,By Mail
1060,Saudi British Bank,SABB,SABB,Banks,2001-07-11,2001-07-21,2001-08-07,5,By Mail
2030,Saudi Arabia Refineries Co.,SARCO,SARCO,Energy,2001-08-02,2001-09-26,2001-10-15,5,By Mail
6040,Tabuk Agricultural Development Co.,TADCO,TADCO,Food & Beverages,2001-08-21,2001-09-20,2001-09-22,2.5,By Mail
4070,Tihama Advertising and Public Relations Co.,TAPRCO,TAPRCO,Media and Entertainment,2001-10-24,2001-12-10,2002-01-10,3,By Mail
4100,Makkah Construction and Development Co.,MCDC,MCDC,"Real Estate Mgmt & Dev't",2002-01-05,2002-01-08,2002-01-21,12,By Mail
1060,Saudi British Bank,SABB,SABB,Banks,2002-01-16,2002-02-06,2002-03-13,9,By Mail
1010,Riyad Bank,RIBL,RIBL,Banks,2002-01-20,2002-02-28,2002-03-13,15,Personal Pickup
1080,Arab National Bank,ANB,ANB,Banks,2002-01-21,2002-03-02,2002-03-21,11,Account Transfer
1050,Banque Saudi Fransi,BSFR,BSFR,Banks,2002-01-22,2002-01-26,2002-02-14,14,By Mail
1030,Saudi Investment Bank,SAIB,SAIB,Banks,2002-01-23,2002-02-09,2002-03-10,8,By Mail
4180,Fitaihi Holding Group,FITAIHI GROUP,FITAIHI GROUP,Consumer Durables & Apparel,2002-01-26,2002-04-09,2002-04-14,2.5,By Mail
1120,Al Rajhi Bank,ALRAJHI,ALRAJHI,Banks,2002-01-28,2002-01-31,2002-02-18,28,Personal Pickup
2050,Savola Group,SAVOLA GROUP,SAVOLA GROUP,Food & Beverages,2002-02-10,2002-02-27,2002-03-16,11,By Mail
2180,Filing and Packing Materials Manufacturing Co.,FIPCO,FIPCO,Materials,2002-02-12,2002-03-09,2002-03-12,5,Personal Pickup
2070,Saudi Pharmaceutical Industries and Medical Appliances Corp.,SPIMACO,SPIMACO,"Pharma, Biotech & Life Science",2002-02-12,2002-03-31,2002-04-13,6,Personal Pickup
2020,SABIC Agri-Nutrients Co.,SABIC AGRI-NUTRIENTS,SABIC AGRI-NUTRIENTS,Materials,2002-02-13,2002-03-21,2002-04-09,5,Personal Pickup
3030,Saudi Cement Co.,SAUDI CEMENT,SAUDI CEMENT,Materials,2002-02-13,2002-03-21,2002-04-09,9,Personal Pickup
3050,Southern Province Cement Co.,SPCC,SPCC,Materials,2002-03-04,2002-04-14,2002-05-04,16,Account Transfer
4170,Tourism Enterprise Co.,TECO,TECO,Consumer Services,2002-03-04,2002-03-30,2002-04-01,2.5,By Mail
2090,National Gypsum Co.,NGC,NGC,Materials,2002-03-05,2002-03-03,2002-04-01,13,By Mail
4010,Dur Hospitality Co.,DUR,DUR,Consumer Services,2002-03-10,2002-04-10,2002-04-18,2.5,By Mail
3010,Arabian Cement Co.,ACC,ACC,Materials,2002-03-11,2002-03-21,2002-04-15,10,By Mail
3020,Yamama Cement Co.,YSCC,YSCC,Materials,2002-03-12,2002-04-11,2002-04-27,30,Personal Pickup
2010,Saudi Basic Industries Corp.,SABIC,SABIC,Materials,2002-03-13,2002-03-31,2002-04-14,3,By Mail
3080,Eastern Province Cement Co.,EPCCO,EPCCO,Materials,2002-03-13,2002-02-19,2002-03-15,15,Personal Pickup
3040,Qassim Cement Co.,QACCO,QACCO,Materials,2002-03-14,2002-03-28,2002-04-17,21,By Mail
3090,Tabuk Cement Co.,TCC,TCC,Materials,2002-03-16,2002-04-14,,3.5,By Mail
2230,Saudi Chemical Co.,CHEMICAL,CHEMICAL,Health Care Equipment & Svc,2002-03-20,2002-03-26,2002-05-01,12,Personal Pickup
2080,National Gas and Industrialization Co.,GASCO,GASCO,Utilities,2002-03-23,2002-03-28,2002-05-01,4.5,Personal Pickup
4020,Saudi Real Estate Co.,ALAKARIA,ALAKARIA,"Real Estate Mgmt & Dev't",2002-03-23,2002-04-09,2002-05-29,6,By Mail
6040,Tabuk Agricultural Development Co.,TADCO,TADCO,Food & Beverages,2002-03-24,,,2.5,By Mail
2240,Zamil Industrial Investment Co.,ZAMIL INDUST,ZAMIL INDUST,Materials,2002-03-27,2002-04-18,2002-04-27,5,Personal Pickup
4040,Saudi Public Transport Co.,SAPTCO,SAPTCO,Transportation,2002-03-31,2002-04-25,2002-06-12,2.5,By Mail
3060,Yanbu Cement Co.,YCC,YCC,Materials,2002-04-01,2002-05-02,2002-05-22,7.5,Personal Pickup
4050,Saudi Automotive Services Co.,SASCO,SASCO,Retailing,2002-04-16,2002-06-18,2002-07-11,2.5,Personal Pickup
2060,National Industrialization Co.,TASNEE,TASNEE,Materials,2002-04-21,2002-05-30,,2.5,Personal Pickup
6050,Saudi Fisheries Co.,SFICO,SFICO,Food & Beverages,2002-04-22,2002-05-05,2002-06-01,3,Account Transfer
5110,Saudi Electricity Co.,SAUDI ELECTRICITY,SAUDI ELECTRICITY,Utilities,2002-05-20,2002-06-27,2002-07-13,4,Personal Pickup
1010,Riyad Bank,RIBL,RIBL,Banks,2002-06-03,2002-06-30,2002-07-20,7.5,Account Transfer
1060,Saudi British Bank,SABB,SABB,Banks,2002-07-03,2002-07-21,2002-08-07,8,Personal Pickup
4080,Sinad Holding Co.,SINAD HOLDING,SINAD HOLDING,Diversified Financials,2002-08-17,2002-09-25,,2.5,Personal Pickup
4100,Makkah Construction and Development Co.,MCDC,MCDC,"Real Estate Mgmt & Dev't",2002-10-06,2003-01-01,2003-01-14,12,By Mail
2040,Saudi Ceramic Co.,SAUDI CERAMICS,SAUDI CERAMICS,Capital Goods,2003-01-01,2003-03-10,2003-03-15,3,By Mail
1080,Arab National Bank,ANB,ANB,Banks,2003-01-01,2003-02-27,2003-03-12,12,Personal Pickup
4180,Fitaihi Holding Group,FITAIHI GROUP,FITAIHI GROUP,Consumer Durables & Apparel,2003-01-06,2003-04-13,2003-04-15,2.5,Personal Pickup
1010,Riyad Bank,RIBL,RIBL,Banks,2003-01-06,2003-02-22,2003-03-04,8,Personal Pickup
2180,Filing and Packing Materials Manufacturing Co.,FIPCO,FIPCO,Materials,2003-01-08,2003-03-01,2003-03-06,6,Personal Pickup
2050,Savola Group,SAVOLA GROUP,SAVOLA GROUP,Food & Beverages,2003-01-18,2003-03-12,2003-03-19,12,By Mail
2240,Zamil Industrial Investment Co.,ZAMIL INDUST,ZAMIL INDUST,Materials,2003-01-20,2003-03-26,2003-03-30,6,Personal Pickup
1050,Banque Saudi Fransi,BSFR,BSFR,Banks,2003-01-22,2003-02-22,2003-03-05,10,By Mail
1060,Saudi British Bank,SABB,SABB,Banks,2003-01-22,2003-02-05,2003-03-12,8,Personal Pickup
1020,Bank Aljazira,BJAZ,BJAZ,Banks,2003-01-28,2003-02-26,2003-02-27,2.5,By Mail
1030,Saudi Investment Bank,SAIB,SAIB,Banks,2003-01-29,2003-02-04,2003-03-03,12,By Mail
2020,SABIC Agri-Nutrients Co.,SABIC AGRI-NUTRIENTS,SABIC AGRI-NUTRIENTS,Materials,2003-02-01,2003-04-09,2003-04-20,4,Personal Pickup
1120,Al Rajhi Bank,ALRAJHI,ALRAJHI,Banks,2003-02-01,2003-03-01,2003-03-08,28,Personal Pickup
